q_w,q_x,q_y,q_z,t,c
-0.575108,0.330648,-0.380822,0.644265,1555155706377648,7
-0.575108,0.330648,-0.380822,0.644265,1555155706378980,7
-0.57523,0.330342,-0.380577,0.644449,1555155706380292,7
-0.57523,0.330342,-0.380577,0.644449,1555155706381616,7
-0.57523,0.330342,-0.380577,0.644449,1555155706382930,7
-0.57523,0.330342,-0.380577,0.644449,1555155706384280,7
-0.57523,0.330342,-0.380577,0.644449,1555155706385569,7
-0.57523,0.330098,-0.380455,0.644571,1555155706386926,7
-0.575475,0.329427,-0.37954,0.645242,1555155706539531,8
-0.575475,0.329427,-0.37954,0.645242,1555155706540848,8
-0.575536,0.329366,-0.379296,0.645425,1555155706542178,8
-0.575536,0.329366,-0.379296,0.645425,1555155706543526,8
-0.575536,0.329366,-0.379296,0.645425,1555155706544845,8
-0.575536,0.329366,-0.379296,0.645425,1555155706546172,8
-0.575536,0.329366,-0.379296,0.645425,1555155706547517,8
-0.575536,0.329366,-0.379296,0.645425,1555155706548852,8
-0.575536,0.329366,-0.379296,0.645425,1555155706550167,8
-0.575536,0.329366,-0.379296,0.645425,1555155706551470,8
-0.575719,0.328939,-0.378868,0.64573,1555155706552813,8
-0.575719,0.328939,-0.378868,0.64573,1555155706554145,8
-0.575719,0.328939,-0.378868,0.64573,1555155706555461,8
-0.575719,0.328939,-0.378868,0.64573,1555155706556810,8
-0.575719,0.328939,-0.378868,0.64573,1555155706558124,8
-0.575841,0.328694,-0.378624,0.645913,1555155706559432,8
-0.575841,0.328694,-0.378624,0.645913,1555155706560776,8
-0.575841,0.328694,-0.378624,0.645913,1555155706562112,8
-0.575841,0.328694,-0.378624,0.645913,1555155706563443,8
-0.575841,0.328694,-0.378624,0.645913,1555155706564768,8
-0.575902,0.328267,-0.378502,0.646097,1555155706566085,8
-0.575902,0.328267,-0.378502,0.646097,1555155706567412,8
-0.575902,0.328267,-0.378502,0.646097,1555155706568731,8
-0.575963,0.328023,-0.378319,0.646219,1555155706570046,8
-0.575963,0.328023,-0.378319,0.646219,1555155706571394,8
-0.575963,0.328023,-0.378319,0.646219,1555155706572705,8
-0.575963,0.328023,-0.378319,0.646219,1555155706574060,8
-0.576146,0.327779,-0.378075,0.646402,1555155706575367,8
-0.576146,0.327779,-0.378075,0.646402,1555155706576695,8
-0.576146,0.327779,-0.378075,0.646402,1555155706578003,8
-0.576146,0.327779,-0.378075,0.646402,1555155706579345,8
-0.576146,0.327779,-0.378075,0.646402,1555155706580680,8
-0.576207,0.327718,-0.37777,0.646463,1555155706582015,8
-0.576207,0.327718,-0.37777,0.646463,1555155706583317,8
-0.576207,0.327718,-0.37777,0.646463,1555155706584668,8
-0.576207,0.327718,-0.37777,0.646463,1555155706585993,8
-0.576207,0.327718,-0.37777,0.646463,1555155706587303,8
-0.57694,0.326314,-0.376183,0.6475,1555155706739928,9
-0.57694,0.326314,-0.376183,0.6475,1555155706741291,9
-0.57694,0.326314,-0.376183,0.6475,1555155706742603,9
-0.57694,0.326253,-0.376061,0.647623,1555155706743907,9
-0.57694,0.326253,-0.376061,0.647623,1555155706745243,9
-0.57694,0.326253,-0.376061,0.647623,1555155706746571,9
-0.57694,0.326253,-0.376061,0.647623,1555155706747925,9
-0.577062,0.32607,-0.375877,0.647684,1555155706749224,9
-0.577062,0.32607,-0.375877,0.647684,1555155706750545,9
-0.577062,0.32607,-0.375877,0.647684,1555155706751861,9
-0.577062,0.32607,-0.375877,0.647684,1555155706753200,9
-0.577123,0.325948,-0.375694,0.647806,1555155706754575,9
-0.577123,0.325948,-0.375694,0.647806,1555155706755856,9
-0.577123,0.325948,-0.375694,0.647806,1555155706757187,9
-0.577123,0.325948,-0.375694,0.647806,1555155706758495,9
-0.577123,0.325948,-0.375694,0.647806,1555155706759875,9
-0.577245,0.325765,-0.375511,0.647928,1555155706761184,9
-0.577245,0.325765,-0.375511,0.647928,1555155706762471,9
-0.577245,0.325765,-0.375511,0.647928,1555155706763816,9
-0.577245,0.325765,-0.375511,0.647928,1555155706765130,9
-0.577245,0.325765,-0.375511,0.647928,1555155706766463,9
-0.577306,0.325581,-0.375328,0.64805,1555155706767807,9
-0.577306,0.325581,-0.375328,0.64805,1555155706769117,9
-0.577306,0.325581,-0.375328,0.64805,1555155706770463,9
-0.577306,0.325581,-0.375328,0.64805,1555155706771796,9
-0.577428,0.325398,-0.375145,0.648172,1555155706773103,9
-0.577428,0.325398,-0.375145,0.648172,1555155706774438,9
-0.577428,0.325398,-0.375145,0.648172,1555155706775735,9
-0.577428,0.325398,-0.375145,0.648172,1555155706777098,9
-0.57755,0.325154,-0.374901,0.648294,1555155706778443,9
-0.57755,0.325154,-0.374901,0.648294,1555155706779757,9
-0.57755,0.325154,-0.374901,0.648294,1555155706781085,9
-0.577611,0.324971,-0.374718,0.648416,1555155706782430,9
-0.577611,0.324971,-0.374718,0.648416,1555155706783695,9
-0.577611,0.324971,-0.374718,0.648416,1555155706785056,9
-0.577611,0.324971,-0.374718,0.648416,1555155706786372,9
-0.578282,0.323689,-0.373497,0.64921,1555155706938981,10
-0.578282,0.323689,-0.373497,0.64921,1555155706940373,10
-0.578282,0.323689,-0.373497,0.64921,1555155706941664,10
-0.578282,0.323689,-0.373497,0.64921,1555155706942967,10
-0.578282,0.323628,-0.373314,0.649332,1555155706944300,10
-0.578282,0.323628,-0.373314,0.649332,1555155706945605,10
-0.578282,0.323628,-0.373314,0.649332,1555155706946947,10
-0.578343,0.323445,-0.373192,0.649454,1555155706948284,10
-0.578343,0.323445,-0.373192,0.649454,1555155706949622,10
-0.578343,0.323445,-0.373192,0.649454,1555155706950946,10
-0.578343,0.323445,-0.373192,0.649454,1555155706952264,10
-0.578343,0.323445,-0.373192,0.649454,1555155706953606,10
-0.578404,0.323323,-0.373009,0.649576,1555155706954937,10
-0.578404,0.323323,-0.373009,0.649576,1555155706956251,10
-0.578404,0.323323,-0.373009,0.649576,1555155706957574,10
-0.578404,0.323323,-0.373009,0.649576,1555155706958914,10
-0.578527,0.32314,-0.372764,0.649698,1555155706960236,10
-0.578527,0.32314,-0.372764,0.649698,1555155706961552,10
-0.578527,0.32314,-0.372764,0.649698,1555155706962868,10
-0.578527,0.32314,-0.372764,0.649698,1555155706964201,10
-0.578527,0.32314,-0.372764,0.649698,1555155706965561,10
-0.578588,0.322896,-0.372581,0.64982,1555155706966844,10
-0.578588,0.322896,-0.372581,0.64982,1555155706968199,10
-0.578588,0.322896,-0.372581,0.64982,1555155706969523,10
-0.578588,0.322896,-0.372581,0.64982,1555155706970844,10
-0.57871,0.322713,-0.372398,0.649942,1555155706972186,10
-0.57871,0.322713,-0.372398,0.649942,1555155706973515,10
-0.57871,0.322713,-0.372398,0.649942,1555155706974827,10
-0.57871,0.322713,-0.372398,0.649942,1555155706976212,10
-0.578771,0.322468,-0.372215,0.650064,1555155706977468,10
-0.578771,0.322468,-0.372215,0.650064,1555155706978815,10
-0.578771,0.322468,-0.372215,0.650064,1555155706980135,10
-0.578771,0.322468,-0.372215,0.650064,1555155706981478,10
-0.578771,0.322468,-0.372215,0.650064,1555155706982787,10
-0.578771,0.322346,-0.372032,0.650186,1555155706984144,10
-0.578771,0.322346,-0.372032,0.650186,1555155706985434,10
-0.578771,0.322346,-0.372032,0.650186,1555155706986757,10
-0.579625,0.320698,-0.370079,0.651407,1555155707139379,11
-0.579625,0.320698,-0.370079,0.651407,1555155707140729,11
-0.579625,0.320698,-0.370079,0.651407,1555155707142088,11
-0.579625,0.320698,-0.370079,0.651407,1555155707143354,11
-0.579747,0.320515,-0.369835,0.65159,1555155707144710,11
-0.579747,0.320515,-0.369835,0.65159,1555155707146013,11
-0.579747,0.320515,-0.369835,0.65159,1555155707147349,11
-0.579747,0.320515,-0.369835,0.65159,1555155707148709,11
-0.57993,0.32021,-0.369529,0.651712,1555155707149998,11
-0.57993,0.32021,-0.369529,0.651712,1555155707151323,11
-0.57993,0.32021,-0.369529,0.651712,1555155707152660,11
-0.57993,0.32021,-0.369529,0.651712,1555155707153986,11
-0.57993,0.32021,-0.369529,0.651712,1555155707155304,11
-0.580052,0.319905,-0.369224,0.651895,1555155707156631,11
-0.580052,0.319905,-0.369224,0.651895,1555155707157963,11
-0.580052,0.319905,-0.369224,0.651895,1555155707159291,11
-0.580052,0.319905,-0.369224,0.651895,1555155707160614,11
-0.580052,0.319905,-0.369224,0.651895,1555155707161945,11
-0.580236,0.3196,-0.368858,0.652078,1555155707163283,11
-0.580236,0.3196,-0.368858,0.652078,1555155707164603,11
-0.580236,0.3196,-0.368858,0.652078,1555155707165947,11
-0.580236,0.3196,-0.368858,0.652078,1555155707167231,11
-0.580236,0.3196,-0.368858,0.652078,1555155707168567,11
-0.580419,0.319294,-0.368492,0.652323,1555155707169901,11
-0.580419,0.319294,-0.368492,0.652323,1555155707171220,11
-0.580419,0.319294,-0.368492,0.652323,1555155707172548,11
-0.580419,0.319294,-0.368492,0.652323,1555155707173883,11
-0.580602,0.318989,-0.368187,0.652445,1555155707175247,11
