angv_x,angv_y,angv_z,lina_x,lina_y,lina_z
4.125,0.5,0.0625,-0.06,0.06,-0.02
4.125,0.5,0.0625,-0.06,0.06,-0.02
4.125,0.5,0.0625,-0.06,0.06,-0.02
3.0625,0,0.3125,-0.23,0.13,0.02
3.0625,0,0.3125,-0.23,0.13,0.02
3.0625,0,0.3125,-0.23,0.13,0.02
2.3125,-0.125,-0.9375,-0.23,0.13,0.02
2.3125,-0.125,-0.9375,0,-0.14,0.05
2.3125,-0.125,-0.9375,0,-0.14,0.05
2.3125,-0.125,-0.9375,0,-0.14,0.05
2.3125,-0.125,-0.9375,0.06,0.04,0.05
2.3125,-0.125,-0.9375,0.06,0.04,0.05
2.3125,-0.125,-0.9375,0.06,0.04,0.05
2.3125,-0.125,-0.9375,0.06,0.04,0.05
3,-0.3125,0.375,0.06,0.04,0.05
3,-0.3125,0.375,0.07,-0.23,-0.12
3,-0.3125,0.375,0.07,-0.23,-0.12
3,-0.3125,0.375,0.07,-0.23,-0.12
3.75,-0.375,0.375,0.07,-0.23,-0.12
3.75,-0.375,0.375,0.07,-0.23,-0.12
3.75,-0.375,0.375,0.03,0.12,-0.07
3.75,-0.375,0.375,0.03,0.12,-0.07
3.75,-0.375,0.375,0.03,0.12,-0.07
4,0.8125,-0.5,0.03,0.12,-0.07
4,0.8125,-0.5,-0.21,0.03,-0.03
4,0.8125,-0.5,-0.21,0.03,-0.03
4,0.8125,-0.5,-0.21,0.03,-0.03
3.8125,-0.1875,-0.1875,-0.21,0.03,-0.03
3.8125,-0.1875,-0.1875,0.1,0.05,0.01
3.8125,-0.1875,-0.1875,0.1,0.05,0.01
3.8125,-0.1875,-0.1875,0.1,0.05,0.01
3.8125,-0.1875,-0.1875,0.1,0.05,0.01
3.8125,-0.1875,-0.1875,-0.19,0.05,0
3.8125,-0.1875,-0.1875,-0.19,0.05,0
3.8125,-0.1875,-0.1875,-0.19,0.05,0
3.8125,-0.1875,-0.1875,-0.19,0.05,0
3.6875,0.875,-0.375,-0.19,0.05,0
3.6875,0.875,-0.375,0.04,0.04,-0.07
3.6875,0.875,-0.375,0.04,0.04,-0.07
3.6875,0.875,-0.375,0.04,0.04,-0.07
4.625,-0.3125,0.6875,-0.12,0.07,0.03
4.625,-0.3125,0.6875,-0.12,0.07,0.03
4.625,-0.3125,0.6875,-0.12,0.07,0.03
4.25,-0.5,-0.5625,-0.12,0.07,0.03
4.25,-0.5,-0.5625,-0.1,-0.15,0.09
4.25,-0.5,-0.5625,-0.1,-0.15,0.09
4.25,-0.5,-0.5625,-0.1,-0.15,0.09
4.25,-0.5,-0.5625,-0.1,-0.15,0.09
4.25,-0.5,-0.5625,-0.15,0.01,0
4.25,-0.5,-0.5625,-0.15,0.01,0
4.25,-0.5,-0.5625,-0.15,0.01,0
4.25,-0.5,-0.5625,-0.15,0.01,0
5.75,0.125,-0.4375,-0.15,0.01,0
5.75,0.125,-0.4375,-0.05,-0.19,-0.08
5.75,0.125,-0.4375,-0.05,-0.19,-0.08
5.75,0.125,-0.4375,-0.05,-0.19,-0.08
5.75,0.125,-0.4375,-0.05,-0.19,-0.08
6.6875,-0.5625,0.375,-0.05,-0.19,-0.08
6.6875,-0.5625,0.375,0.15,0.11,-0.1
6.6875,-0.5625,0.375,0.15,0.11,-0.1
6.6875,-0.5625,0.375,0.15,0.11,-0.1
6.6875,-0.5625,0.375,0.15,0.11,-0.1
6.4375,0.4375,-0.5625,0.15,0.11,-0.1
6.4375,0.4375,-0.5625,0.04,0.03,0.08
6.4375,0.4375,-0.5625,0.04,0.03,0.08
6.4375,0.4375,-0.5625,0.04,0.03,0.08
5.6875,-0.375,-0.125,0.04,0.03,0.08
5.6875,-0.375,-0.125,0,0.22,0.12
5.6875,-0.375,-0.125,0,0.22,0.12
5.6875,-0.375,-0.125,0,0.22,0.12
5.75,0.625,-0.0625,0,0.22,0.12
5.75,0.625,-0.0625,0,0.22,0.12
5.75,0.625,-0.0625,-0.27,0.17,0.1
5.75,0.625,-0.0625,-0.27,0.17,0.1
4.8125,-0.5,-0.625,-0.27,0.17,0.1
4.8125,-0.5,-0.625,-0.27,0.17,0.1
4.8125,-0.5,-0.625,-0.27,0.17,0.1
2.875,0.1875,0.375,-0.19,-0.07,0.08
2.875,0.1875,0.375,-0.19,-0.07,0.08
2.875,0.1875,0.375,-0.19,-0.07,0.08
2.5,-0.125,-0.75,-0.19,-0.07,0.08
2.5,-0.125,-0.75,0.04,-0.22,0.03
2.5,-0.125,-0.75,0.04,-0.22,0.03
2.5,-0.125,-0.75,0.04,-0.22,0.03
2.5,-0.125,-0.75,0.04,-0.22,0.03
2.5,-0.125,-0.75,-0.03,0.04,0
2.5,-0.125,-0.75,-0.03,0.04,0
2.5,-0.125,-0.75,-0.03,0.04,0
2.5,-0.125,-0.75,-0.03,0.04,0
3.875,0.0625,-0.75,-0.03,0.04,0
3.875,0.0625,-0.75,-0.19,-0.05,-0.08
3.875,0.0625,-0.75,-0.19,-0.05,-0.08
3.875,0.0625,-0.75,-0.19,-0.05,-0.08
3.875,0.0625,-0.75,-0.19,-0.05,-0.08
4.375,-0.5,0.3125,-0.19,-0.05,-0.08
4.375,-0.5,0.3125,-0.11,0.43,0.04
4.375,-0.5,0.3125,-0.11,0.43,0.04
4.375,-0.5,0.3125,-0.11,0.43,0.04
4.375,-0.5,0.3125,-0.11,0.43,0.04
3.3125,0.5625,-0.375,-0.11,0.43,0.04
3.3125,0.5625,-0.375,-0.1,0.08,0.06
3.3125,0.5625,-0.375,-0.1,0.08,0.06
3.3125,0.5625,-0.375,-0.1,0.08,0.06
2.75,-0.25,0.25,-0.1,0.08,0.06
2.75,-0.25,0.25,0.09,0.03,0.03
2.75,-0.25,0.25,0.09,0.03,0.03
2.75,-0.25,0.25,0.09,0.03,0.03
2.8125,0.6875,0,0.09,0.03,0.03
2.8125,0.6875,0,-0.13,-0.11,0
2.8125,0.6875,0,-0.13,-0.11,0
2.8125,0.6875,0,-0.13,-0.11,0
2.5,-0.4375,-0.25,-0.13,-0.11,0
2.5,-0.4375,-0.25,-0.13,-0.11,0
2.5,-0.4375,-0.25,0.02,-0.01,-0.09
2.9375,0.25,0.3125,-0.21,-0.07,0
2.9375,0.25,0.3125,-0.21,-0.07,0
2.9375,0.25,0.3125,-0.21,-0.07,0
2.9375,0.25,0.3125,-0.21,-0.07,0
2.9375,0.25,0.3125,-0.07,-0.23,0.04
2.9375,0.25,0.3125,-0.07,-0.23,0.04
2.9375,0.25,0.3125,-0.07,-0.23,0.04
3.1875,-0.3125,-1,-0.07,-0.23,0.04
3.1875,-0.3125,-1,-0.16,0.11,0.03
3.1875,-0.3125,-1,-0.16,0.11,0.03
3.1875,-0.3125,-1,-0.16,0.11,0.03
3.1875,-0.3125,-1,-0.16,0.11,0.03
4.5,-0.25,0.3125,-0.16,0.11,0.03
4.5,-0.25,0.3125,0.05,-0.01,-0.01
4.5,-0.25,0.3125,0.05,-0.01,-0.01
4.5,-0.25,0.3125,0.05,-0.01,-0.01
4.5,-0.25,0.3125,0.05,-0.01,-0.01
4.5625,-0.125,0.25,0.05,-0.01,-0.01
4.5625,-0.125,0.25,0.05,0.34,0
4.5625,-0.125,0.25,0.05,0.34,0
4.5625,-0.125,0.25,0.05,0.34,0
3.9375,0.625,-0.75,0.05,0.34,0
3.9375,0.625,-0.75,0.05,-0.01,0.02
3.9375,0.625,-0.75,0.05,-0.01,0.02
3.9375,0.625,-0.75,0.05,-0.01,0.02
3.375,-0.125,0.375,0.05,-0.01,0.02
3.375,-0.125,0.375,-0.09,0.19,0.04
